"nombre","popularidad","porcentajevictorias","porcentajebaneos","kda","pentasporpartida"
"Karthus","2.5%","49.9%","0.9%","0.9%","0.0008"
"Kog'Maw","2.5%","50.8%","0.4%","0.4%","0.0031"
"Lissandra","2.5%","48.1%","0.8%","0.8%","0.0005"
"Cassiopeia","2.4%","50.6%","1.5%","1.5%","0.0009"
"Yorick","2.4%","49.0%","1.7%","1.7%","0.0001"
"Urgot","2.3%","50.1%","0.6%","0.6%","0.0013"
"Twisted Fate","2.3%","47.6%","0.1%","0.1%","0.0001"
"Gnar","2.3%","47.5%","0.5%","0.5%","0.0001"
"Galio","2.2%","51.3%","0.3%","0.3%","0.0000"
"Shyvana","2.2%","50.2%","0.6%","0.6%","0.0017"
"Poppy","2.2%","48.6%","1.0%","1.0%","0.0004"
"Jarvan IV","2.2%","48.4%","0.2%","0.2%","0.0003"
"Kled","2.2%","51.5%","0.7%","0.7%","0.0004"
"Ziggs","2.1%","50.6%","0.2%","0.2%","0.0001"
"Taliyah","2.1%","48.8%","0.4%","0.4%","0.0013"
"Orianna","2.0%","49.4%","0.1%","0.1%","0.0004"
"Xin Zhao","2.0%","49.3%","0.3%","0.3%","0.0015"
"Taric","1.9%","51.2%","0.3%","0.3%","0.0000"
"Braum","1.8%","47.2%","0.3%","0.3%","0.0000"
"Neeko","1.7%","49.9%","0.2%","0.2%","0.0002"
"Rell","1.7%","51.7%","0.4%","0.4%","0.0000"
"Annie","1.4%","49.3%","0.3%","0.3%","0.0004"
"Quinn","1.4%","50.8%","0.5%","0.5%","0.0006"
"Kennen","1.4%","48.8%","0.3%","0.3%","0.0006"
"Rek'Sai","1.4%","49.5%","1.2%","1.2%","0.0007"
"Corki","1.4%","49.3%","0.2%","0.2%","0.0031"
"Ivern","1.1%","51.7%","0.3%","0.3%","0.0000"
"Skarner","0.9%","51.1%","0.1%","0.1%","0.0000"
"Aurelion Sol","0.6%","49.5%","0.3%","0.3%","0.0024"
